1	37361.17029302197
2	36489.510872871084
3	35688.3379460025
4	35000.749896237176
5	34351.769896863625
6	33807.60038935721
7	33279.097920494954
8	33132.49279682783
9	33000.6868819563
10	32900.11678489297
11	32800.86559524542
12	32721.03559014589
13	32683.59501830751
14	32651.559102418556
15	32633.976629527948
16	32622.003169882293
17	32612.025286844248
18	32603.974605287236
19	32597.244506880237
20	32592.324400776233
21	32588.224358049905
22	32584.95366994737
23	32581.851415524845
24	32578.74916110232
25	32576.753584494712
26	32574.758007887103
27	32572.762431279494
28	32572.33934669913
29	32572.24618578835
