1	37308.02018398197
2	36401.932170051776
3	35586.53118881207
4	34873.95163654461
5	34214.69790970494
6	33648.70474615336
7	33110.27318808857
8	32963.66806442144
9	32860.920535639845
10	32760.350438575886
11	32680.520433476267
12	32624.781826676626
13	32587.341254838248
14	32555.305338949292
15	32531.358419657983
16	32513.3982301895
17	32495.815757298893
18	32478.853356134216
19	32467.877684792365
20	32459.86497047946
21	32453.13487207246
22	32447.0189682437
23	32442.673172402345
24	32438.573129676017
25	32435.470875253493
26	32432.36862083097
27	32430.231235690684
28	32428.235659083075
29	32426.240082475466
30	32424.244505867857
